,price_clp,price_uf,price_usd,comuna,ubicacion,dorms,baths,built_area,total_area,parking
2262,110000000,3091,136986,Maipú,Cabadá/DosNorte,3,1.0,120.0,145.0,1
2263,189000000,5310,235367,Maipú,Av.ElCarmencon5deAbril,6,3.0,138.0,220.0,3
2264,101431500,2850,126316,Cerrillos,VentaCasa4DormitoriosCerrillos,4,1.0,88.0,250.0,0
2265,158838170,4463,197806,PedroAguirreCerda,MiguelDávila,5,1.0,141.0,187.0,0
2266,75000000,2107,93400,ElMonte,ZozimoErrazurizYC60649/LasCamelias,3,1.0,55.0,150.0,0
2267,67000000,1883,83437,Quilicura,Quilicura,3,1.0,70.0,63.0,1
2268,175000000,4917,217933,Maipú,CiudadSatélite,4,3.0,119.0,300.0,1
2269,84600000,2377,105355,ElBosque,Av.Loblancosocoroma,4,2.0,70.0,100.0,2
2270,174391000,4900,217174,Colina,ElpotrerilloAG/LosNogales,4,3.0,90.0,120.0,0
2271,160000000,4496,199253,CerroNavia,Diagonalrenyyc57370/avcostanerasur,7,4.0,130.0,167.0,0
2272,171508210,4819,213584,Santiago,Santiago,5,2.0,222.0,100.0,0
2273,633502000,17800,788919,LoBarnechea,teresavial,1,2.0,175.0,300.0,0
2274,56000000,1573,69738,Lampa,Tomasgonzalez,2,1.0,40.0,70.0,1
2275,240000000,6743,298879,Maipú,Maipú,6,3.0,125.0,300.0,2
2276,99652000,2800,124100,Maipú,MiguelRubio/JulioCorderoBustamante,4,2.0,80.0,134.0,0
2277,177950000,5000,221606,PedroAguirreCerda,Senderouno,3,3.0,105.0,270.0,3
2278,190000000,5339,236613,LaFlorida,TenientedeMarinaRolandoFroden,6,3.0,152.0,269.0,6
2279,138801000,3900,172853,LaFlorida,JoséMiguelCarrera1340,3,3.0,69.0,80.0,1
2280,761946310,21409,948875,Providencia,PedrodeValdiviaNorte/LosNavegantes,5,4.0,178.0,480.0,0
2281,135000000,3793,168120,EstaciónCentral,MetroEcuador/MetroLaReja,3,1.0,97.0,130.0,0
2282,105000000,2950,130760,QuintaNormal,taitao,3,1.0,111.0,160.0,0
2283,327428000,9200,407756,Colina,LaSierradeChicureo,3,3.0,120.0,350.0,2
2284,57000000,1602,70984,SanBernardo,elrefugio,4,1.0,83.0,94.0,0
2285,633146100,17790,788476,LaReina,Juliabernstein,5,3.0,200.0,385.0,0
2286,50000000,1405,62267,Ñuñoa,Casade1PisoenPobl.RositaRenard,2,1.0,30.0,56.0,0
2287,110329000,3100,137396,SanJoaquín,PintorDurero,5,2.0,160.0,160.0,1
2288,154816500,4350,192798,Maipú,Cuidadsatelite/lautaro/avenidaelparque,3,3.0,93.0,145.0,1
